               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.033116,            0.015344,           0.0049011,             0.86585,             0.98398,             0.98169,             0.66196,            0.031611,             0.01057,           0.0021682,            0.007492,            0.007492,            0.007492
                  78,            0.031981,            0.015753,           0.0040677,             0.91402,             0.96354,             0.98141,             0.68089,            0.030783,            0.010735,           0.0021655,            0.007459,            0.007459,            0.007459
                  79,            0.032967,            0.016614,           0.0032242,             0.94639,             0.94197,             0.98104,             0.67817,            0.031454,            0.010425,           0.0021392,            0.007426,            0.007426,            0.007426
                  80,            0.033051,            0.016341,           0.0037914,             0.96947,             0.97849,             0.98379,             0.72386,            0.028007,            0.010279,           0.0022993,            0.007393,            0.007393,            0.007393
                  81,            0.030037,             0.01905,           0.0036331,             0.96906,             0.97985,             0.98664,             0.74579,            0.025582,            0.010353,           0.0023538,             0.00736,             0.00736,             0.00736
                  82,            0.030624,            0.017784,           0.0035341,             0.96652,             0.97821,             0.98377,             0.68807,            0.028755,            0.010354,           0.0022889,            0.007327,            0.007327,            0.007327
                  83,              0.0304,            0.017016,           0.0035687,             0.97309,               0.978,             0.98673,             0.75442,            0.026078,           0.0099181,           0.0022775,            0.007294,            0.007294,            0.007294
                  84,            0.029249,            0.017951,           0.0039947,             0.96812,              0.9942,             0.98665,             0.70784,            0.026081,            0.010089,           0.0023223,            0.007261,            0.007261,            0.007261
                  85,            0.028993,            0.017162,           0.0038114,              0.9638,             0.97649,             0.98632,             0.70383,            0.027916,            0.010047,            0.002293,            0.007228,            0.007228,            0.007228
                  86,            0.028124,            0.014862,             0.00345,               0.972,             0.95793,             0.98247,             0.65504,            0.028626,            0.010058,           0.0023315,            0.007195,            0.007195,            0.007195
                  87,            0.029489,            0.017646,            0.003806,             0.96439,             0.97238,             0.98268,             0.69411,            0.026024,            0.009811,           0.0023262,            0.007162,            0.007162,            0.007162
                  88,            0.027113,            0.015439,           0.0032519,              0.9841,             0.97304,             0.97876,             0.69609,            0.028206,            0.010089,           0.0023587,            0.007129,            0.007129,            0.007129
                  89,            0.028952,            0.016183,           0.0028282,             0.97564,             0.97182,             0.97809,             0.68204,            0.028317,            0.010095,           0.0022174,            0.007096,            0.007096,            0.007096
                  90,            0.032453,            0.016733,           0.0037111,               0.954,             0.97354,             0.97646,             0.60388,            0.033181,            0.009966,           0.0020817,            0.007063,            0.007063,            0.007063
                  91,            0.032486,             0.01566,           0.0034303,             0.95926,             0.96168,             0.97285,             0.66055,            0.030767,            0.010156,           0.0020246,             0.00703,             0.00703,             0.00703
                  92,             0.03366,            0.016768,           0.0039239,             0.95033,             0.96776,             0.97812,             0.69378,            0.029622,            0.010008,            0.002017,            0.006997,            0.006997,            0.006997
                  93,            0.031897,            0.017866,           0.0028304,             0.91174,             0.97503,             0.98508,             0.65802,            0.026835,             0.01006,           0.0019439,            0.006964,            0.006964,            0.006964
                  94,            0.030956,            0.016231,           0.0030042,             0.93722,             0.95581,             0.96981,             0.69968,            0.027533,             0.01016,            0.001919,            0.006931,            0.006931,            0.006931
                  95,            0.027639,            0.016209,           0.0032327,             0.96592,             0.96149,             0.97108,             0.68043,            0.026099,            0.010063,           0.0018822,            0.006898,            0.006898,            0.006898
                  96,            0.029901,            0.017534,           0.0039764,             0.93752,             0.95591,             0.97088,             0.65046,            0.031966,            0.010431,           0.0018937,            0.006865,            0.006865,            0.006865
                  97,            0.030101,            0.015062,           0.0031311,             0.96477,             0.96062,             0.98233,             0.63719,             0.02823,            0.010529,           0.0019183,            0.006832,            0.006832,            0.006832
                  98,            0.028835,            0.016214,           0.0030228,             0.95927,             0.95396,             0.98065,             0.69144,            0.026447,            0.010269,           0.0019483,            0.006799,            0.006799,            0.006799
                  99,            0.028194,            0.015156,           0.0035201,              0.9468,             0.98884,             0.98662,             0.68464,              0.0294,            0.010453,            0.001924,            0.006766,            0.006766,            0.006766
                 100,            0.029581,            0.015853,           0.0035117,             0.93651,             0.97725,             0.97791,             0.68084,            0.026931,            0.010154,           0.0020313,            0.006733,            0.006733,            0.006733
                 101,            0.027817,            0.014965,           0.0031287,             0.91708,             0.96329,             0.97917,             0.70447,            0.026162,            0.010121,           0.0020125,              0.0067,              0.0067,              0.0067
                 102,            0.027001,             0.01635,           0.0037939,             0.95424,             0.95969,             0.97122,             0.71144,            0.026722,            0.010321,           0.0020969,            0.006667,            0.006667,            0.006667
                 103,             0.02761,              0.0158,           0.0034884,              0.9535,              0.9658,             0.97197,             0.70635,            0.025266,            0.010309,           0.0020881,            0.006634,            0.006634,            0.006634
                 104,            0.030931,            0.016942,           0.0029518,             0.95361,             0.98679,             0.97826,             0.64824,            0.030963,            0.010532,           0.0020743,            0.006601,            0.006601,            0.006601
                 105,            0.029752,            0.015843,           0.0033025,             0.96668,             0.98596,             0.98562,             0.69444,            0.024864,            0.010166,           0.0021839,            0.006568,            0.006568,            0.006568
                 106,            0.029465,            0.016221,           0.0023936,             0.97328,             0.97683,             0.97551,             0.61854,            0.030561,             0.01043,           0.0020556,            0.006535,            0.006535,            0.006535
                 107,            0.029921,            0.016209,           0.0035853,              0.9726,             0.97098,             0.97462,             0.67675,            0.025532,            0.010211,           0.0020569,            0.006502,            0.006502,            0.006502
                 108,            0.027452,            0.014511,           0.0030072,             0.95957,             0.98479,             0.98347,             0.65279,            0.026787,            0.010218,           0.0020548,            0.006469,            0.006469,            0.006469
                 109,            0.026563,            0.015408,            0.002201,             0.96529,             0.98318,             0.98152,             0.69577,            0.024577,           0.0099107,           0.0019314,            0.006436,            0.006436,            0.006436
                 110,            0.029662,            0.015348,           0.0028374,             0.97293,             0.95592,             0.98241,               0.603,            0.033806,            0.010417,           0.0017939,            0.006403,            0.006403,            0.006403
                 111,            0.030775,            0.014642,           0.0034586,             0.98194,             0.94529,             0.98241,             0.71454,            0.026739,            0.010027,           0.0018245,             0.00637,             0.00637,             0.00637
                 112,            0.031227,            0.017488,           0.0030692,             0.87126,             0.97117,             0.92512,             0.66307,            0.025564,            0.010365,            0.001814,            0.006337,            0.006337,            0.006337
                 113,            0.028034,            0.016254,             0.00388,             0.87121,             0.96826,              0.9251,             0.65857,            0.027607,            0.010262,           0.0018288,            0.006304,            0.006304,            0.006304
                 114,            0.029798,            0.016295,            0.003267,             0.87227,             0.97249,             0.98588,             0.70402,            0.026227,            0.010238,           0.0017941,            0.006271,            0.006271,            0.006271
                 115,            0.029384,            0.015706,           0.0037507,             0.96926,             0.97563,             0.98246,             0.71503,            0.028142,            0.010218,           0.0017832,            0.006238,            0.006238,            0.006238
                 116,            0.030208,            0.015533,           0.0025517,             0.93962,             0.94215,             0.98284,             0.71678,            0.028174,            0.010058,           0.0017052,            0.006205,            0.006205,            0.006205
                 117,            0.029729,            0.017312,           0.0023573,             0.90856,             0.96466,              0.9798,             0.71008,            0.026266,            0.010195,           0.0017053,            0.006172,            0.006172,            0.006172
                 118,            0.029666,            0.015092,           0.0026962,             0.95553,             0.96759,             0.97459,             0.67415,            0.026704,            0.010343,           0.0017022,            0.006139,            0.006139,            0.006139
                 119,            0.026368,            0.015472,           0.0029432,             0.95468,             0.96457,             0.98256,             0.71794,            0.023855,           0.0099328,           0.0016687,            0.006106,            0.006106,            0.006106
                 120,            0.026394,             0.01519,           0.0028729,             0.94929,              0.9522,             0.97556,             0.67603,            0.027135,            0.010162,           0.0016475,            0.006073,            0.006073,            0.006073
                 121,             0.02645,            0.015383,           0.0023041,             0.96117,             0.94794,             0.98446,             0.72537,            0.024213,           0.0099582,           0.0016823,             0.00604,             0.00604,             0.00604
                 122,            0.027394,            0.015999,           0.0025814,             0.96191,             0.95216,             0.97765,             0.72786,            0.027421,            0.010067,           0.0017157,            0.006007,            0.006007,            0.006007
                 123,            0.027129,            0.015136,           0.0027587,             0.97561,             0.97249,             0.98571,             0.72972,            0.024077,           0.0099844,           0.0017234,            0.005974,            0.005974,            0.005974
                 124,            0.026683,            0.013925,           0.0033472,             0.97475,             0.96668,             0.97989,             0.71552,            0.025535,            0.010189,           0.0017462,            0.005941,            0.005941,            0.005941
                 125,            0.026354,            0.015006,           0.0033584,             0.97525,              0.9688,             0.98411,             0.73118,            0.025683,            0.010085,           0.0017613,            0.005908,            0.005908,            0.005908
                 126,            0.026876,            0.014902,           0.0023148,             0.97808,             0.96726,             0.97517,             0.70825,            0.027203,           0.0099382,           0.0017464,            0.005875,            0.005875,            0.005875
                 127,            0.026896,             0.01532,           0.0029928,             0.97859,             0.96711,              0.9803,              0.7148,            0.026515,            0.010109,           0.0018109,            0.005842,            0.005842,            0.005842
                 128,            0.028426,            0.015086,           0.0034601,              0.9662,             0.96697,              0.9761,              0.6808,             0.02585,           0.0099001,           0.0018593,            0.005809,            0.005809,            0.005809
                 129,             0.02797,            0.016203,           0.0027776,              0.9692,              0.9669,             0.97666,             0.70671,            0.024966,           0.0099849,           0.0019448,            0.005776,            0.005776,            0.005776
                 130,            0.027563,            0.016607,           0.0032829,             0.96317,             0.97026,             0.97718,              0.7102,            0.024891,            0.010134,           0.0020001,            0.005743,            0.005743,            0.005743
